tdcb_cbf_production_ N-FOLD AVERAGE :
,precision, recall, f1, support
0,0.98,0.98,0.98,567
2,1.00,1.00,1.00,4544
avg,0.99,0.99,0.99,5111

 HELDOUT :
,precision, recall, f1, support
0,0.98,0.98,0.98,567
2,1.00,1.00,1.00,4544
avg,0.99,0.99,0.99,5111

tdcb_cbf_production_ N-FOLD AVERAGE :
,precision, recall, f1, support
0,0.96,0.99,0.97,567
2,1.00,0.99,1.00,4544
avg,0.98,0.99,0.99,5111

 HELDOUT :
,precision, recall, f1, support
0,0.96,0.99,0.97,567
2,1.00,0.99,1.00,4544
avg,0.98,0.99,0.99,5111

