dense N-FOLD AVERAGE :
,precision, recall, f1, support
0,0.67,0.65,0.66,3804
2,0.84,0.85,0.85,8265
avg,0.75,0.75,0.75,12069

 HELDOUT :
,precision, recall, f1, support
0,0.67,0.65,0.66,1280
2,0.84,0.85,0.85,2744
avg,0.76,0.75,0.76,4024

